List of nonzero CGCs for S x S' => S'', alpha
Q(M)	Q(M')	Q(M'')	CGC
1	3	1	0.534522483824849
2	2	1	-0.654653670707976
3	1	1	0.534522483824850
1	4	2	0.654653670707977
2	3	2	-0.267261241912424
3	2	2	-0.267261241912424
4	1	2	0.654653670707977
1	5	3	0.534522483824849
2	4	3	0.267261241912425
3	3	3	-0.534522483824848
4	2	3	0.267261241912425
5	1	3	0.534522483824849
2	5	4	0.654653670707977
3	4	4	-0.267261241912424
4	3	4	-0.267261241912424
5	2	4	0.654653670707977
3	5	5	0.534522483824849
4	4	5	-0.654653670707977
5	3	5	0.534522483824849
