List of nonzero CGCs for S x S' => S'', alpha
Q(M)	Q(M')	Q(M'')	CGC
1	1	1	0.999999999999999
1	2	2	0.999999999999999
1	3	3	0.999999999999999
1	4	4	0.999999999999999
1	5	5	0.755928946018454
2	2	5	0.327326835353989
3	1	5	-0.566946709513841
1	6	6	0.755928946018454
2	3	6	0.462910049886275
3	2	6	-0.462910049886276
1	7	7	0.755928946018454
2	4	7	0.566946709513840
3	3	7	-0.327326835353988
1	8	8	0.534522483824849
2	6	8	0.436435780471984
3	5	8	-0.617213399848368
4	3	8	0.154303349962091
5	2	8	-0.218217890235993
6	1	8	0.267261241912425
1	9	9	0.534522483824848
2	7	9	0.617213399848367
3	6	9	-0.436435780471985
4	4	9	0.267261241912424
5	3	9	-0.218217890235992
6	2	9	0.154303349962092
1	10	10	0.338061701891407
2	9	10	0.507092552837109
3	8	10	-0.507092552837110
4	7	10	0.338061701891406
5	6	10	-0.338061701891406
6	5	10	0.338061701891407
7	4	10	0.084515425472851
8	3	10	-0.084515425472852
9	2	10	0.084515425472852
10	1	10	-0.084515425472852
2	1	11	1.000000000000000
2	2	12	0.866025403784439
3	1	12	0.500000000000000
2	3	13	0.707106781186548
3	2	13	0.707106781186548
2	4	14	0.500000000000001
3	3	14	0.866025403784439
3	4	15	1.000000000000000
2	5	16	0.845154254728517
4	2	16	0.338061701891407
5	1	16	-0.414039335605412
2	6	17	0.690065559342355
3	5	17	0.487950036474267
4	3	17	0.390360029179414
5	2	17	-0.138013111868471
6	1	17	-0.338061701891407
2	7	18	0.487950036474267
3	6	18	0.690065559342355
4	4	18	0.338061701891407
5	3	18	0.138013111868471
6	2	18	-0.390360029179413
3	7	19	0.845154254728517
5	4	19	0.414039335605413
6	3	19	-0.338061701891407
2	8	20	0.690065559342354
4	6	20	0.487950036474266
5	5	20	-0.487950036474267
7	3	20	0.119522860933439
8	2	20	-0.138013111868471
9	1	20	0.119522860933439
2	9	21	0.487950036474267
3	8	21	0.487950036474267
4	7	21	0.487950036474267
6	5	21	-0.487950036474267
7	4	21	0.146385010942280
8	3	21	-0.048795003647427
9	2	21	-0.048795003647427
10	1	21	0.146385010942280
3	9	22	0.690065559342354
5	7	22	0.487950036474267
6	6	22	-0.487950036474267
8	4	22	0.119522860933439
9	3	22	-0.138013111868471
10	2	22	0.119522860933439
2	10	23	0.534522483824849
4	9	23	0.617213399848367
5	8	23	-0.436435780471985
7	7	23	0.267261241912424
8	6	23	-0.218217890235992
9	5	23	0.154303349962092
3	10	24	0.534522483824849
5	9	24	0.436435780471985
6	8	24	-0.617213399848368
8	7	24	0.154303349962092
9	6	24	-0.218217890235992
10	5	24	0.267261241912424
4	1	25	1.000000000000000
4	2	26	0.774596669241483
5	1	26	0.632455532033676
4	3	27	0.547722557505166
5	2	27	0.774596669241483
6	1	27	0.316227766016838
4	4	28	0.316227766016838
5	3	28	0.774596669241483
6	2	28	0.547722557505166
5	4	29	0.632455532033676
6	3	29	0.774596669241483
6	4	30	1.000000000000000
4	5	31	0.925820099772552
7	2	31	0.267261241912424
8	1	31	-0.267261241912425
4	6	32	0.654653670707977
5	5	32	0.654653670707977
7	3	32	0.267261241912424
9	1	32	-0.267261241912425
4	7	33	0.377964473009227
5	6	33	0.755928946018455
6	5	33	0.377964473009227
7	4	33	0.188982236504614
8	3	33	0.188982236504614
9	2	33	-0.188982236504614
10	1	33	-0.188982236504614
5	7	34	0.654653670707977
6	6	34	0.654653670707977
8	4	34	0.267261241912424
10	2	34	-0.267261241912425
6	7	35	0.925820099772552
9	4	35	0.267261241912424
10	3	35	-0.267261241912425
4	8	36	0.845154254728517
7	6	36	0.414039335605412
8	5	36	-0.338061701891407
4	9	37	0.487950036474267
5	8	37	0.690065559342355
7	7	37	0.338061701891407
8	6	37	0.138013111868471
9	5	37	-0.390360029179414
5	9	38	0.690065559342354
6	8	38	0.487950036474267
8	7	38	0.390360029179413
9	6	38	-0.138013111868471
10	5	38	-0.338061701891407
6	9	39	0.845154254728517
9	7	39	0.338061701891407
10	6	39	-0.414039335605413
4	10	40	0.755928946018454
7	9	40	0.566946709513841
8	8	40	-0.327326835353988
5	10	41	0.755928946018454
8	9	41	0.462910049886276
9	8	41	-0.462910049886276
6	10	42	0.755928946018454
9	9	42	0.327326835353988
10	8	42	-0.566946709513841
7	1	43	1.000000000000001
7	2	44	0.707106781186548
8	1	44	0.707106781186548
7	3	45	0.447213595499958
8	2	45	0.774596669241484
9	1	45	0.447213595499958
7	4	46	0.223606797749979
8	3	46	0.670820393249937
9	2	46	0.670820393249937
10	1	46	0.223606797749979
8	4	47	0.447213595499958
9	3	47	0.774596669241484
10	2	47	0.447213595499958
9	4	48	0.707106781186548
10	3	48	0.707106781186548
10	4	49	1.000000000000000
7	5	50	1.000000000000000
7	6	51	0.632455532033676
8	5	51	0.774596669241484
7	7	52	0.316227766016838
8	6	52	0.774596669241484
9	5	52	0.547722557505166
8	7	53	0.547722557505166
9	6	53	0.774596669241484
10	5	53	0.316227766016838
9	7	54	0.774596669241483
10	6	54	0.632455532033676
10	7	55	1.000000000000000
7	8	56	1.000000000000000
7	9	57	0.500000000000000
8	8	57	0.866025403784438
8	9	58	0.707106781186547
9	8	58	0.707106781186547
9	9	59	0.866025403784439
10	8	59	0.500000000000000
10	9	60	1.000000000000000
7	10	61	1.000000000000000
8	10	62	1.000000000000000
9	10	63	1.000000000000000
10	10	64	1.000000000000000
