List of nonzero CGCs for S x S' => S'', alpha
Q(M)	Q(M')	Q(M'')	CGC
1	35	1	0.169030850945703
2	34	1	-0.169030850945703
3	33	1	0.169030850945703
4	32	1	-0.169030850945703
5	31	1	0.169030850945703
6	30	1	-0.169030850945703
7	29	1	0.169030850945703
8	28	1	0.169030850945703
9	27	1	-0.169030850945703
10	26	1	0.169030850945703
11	25	1	-0.169030850945703
12	24	1	0.169030850945703
13	23	1	-0.169030850945703
14	22	1	-0.169030850945703
15	21	1	0.169030850945703
16	20	1	-0.169030850945703
17	19	1	0.169030850945703
18	18	1	-0.169030850945703
19	17	1	0.169030850945703
20	16	1	-0.169030850945703
21	15	1	0.169030850945703
22	14	1	-0.169030850945703
23	13	1	0.169030850945703
24	12	1	0.169030850945703
25	11	1	-0.169030850945703
26	10	1	0.169030850945703
27	9	1	-0.169030850945703
28	8	1	0.169030850945703
29	7	1	-0.169030850945703
30	6	1	0.169030850945703
31	5	1	0.169030850945703
32	4	1	-0.169030850945703
33	3	1	0.169030850945703
34	2	1	-0.169030850945703
35	1	1	0.169030850945703
