List of nonzero CGCs for S x S' => S'', alpha
Q(M)	Q(M')	Q(M'')	CGC
1	1	1	1.000000000000000
1	2	2	1.000000000000000
1	3	3	1.000000000000000
1	4	4	1.000000000000000
1	5	5	1.000000000000000
1	6	6	1.000000000000001
1	7	7	0.816496580927726
2	4	7	0.288675134594813
3	2	7	-0.288675134594813
4	1	7	0.408248290463863
1	8	8	0.816496580927726
2	5	8	0.288675134594813
3	3	8	-0.408248290463863
4	2	8	0.288675134594813
1	9	9	0.816496580927726
2	6	9	0.408248290463864
3	5	9	-0.288675134594813
4	4	9	0.288675134594813
1	10	10	0.632455532033676
2	9	10	0.421637021355784
3	8	10	-0.421637021355784
4	7	10	0.421637021355784
5	6	10	0.105409255338946
6	5	10	-0.105409255338946
7	4	10	0.105409255338946
8	3	10	0.105409255338946
9	2	10	-0.105409255338946
10	1	10	0.105409255338946
2	1	11	1.000000000000000
2	2	12	1.000000000000000
2	3	13	1.000000000000000
2	4	14	0.866025403784438
3	2	14	0.288675134594813
4	1	14	-0.408248290463863
2	5	15	0.866025403784438
3	3	15	0.408248290463863
4	2	15	-0.288675134594813
2	6	16	0.707106781186547
3	5	16	0.500000000000000
4	4	16	-0.500000000000000
3	1	17	1.000000000000001
3	2	18	0.816496580927726
4	1	18	0.577350269189626
3	3	19	0.577350269189626
4	2	19	0.816496580927726
4	3	20	1.000000000000000
3	4	21	1.000000000000000
3	5	22	0.707106781186548
4	4	22	0.707106781186548
4	5	23	1.000000000000000
3	6	24	1.000000000000000
4	6	25	1.000000000000000
2	7	26	0.912870929175277
5	4	26	0.258198889747161
6	2	26	-0.182574185835055
7	1	26	0.258198889747161
2	8	27	0.912870929175276
5	5	27	0.258198889747161
6	3	27	-0.258198889747161
7	2	27	0.182574185835055
2	9	28	0.745355992499930
3	8	28	0.372677996249965
4	7	28	-0.372677996249965
5	6	28	0.298142396999972
6	5	28	-0.074535599249993
7	4	28	0.074535599249993
8	3	28	-0.149071198499986
9	2	28	0.149071198499986
10	1	28	-0.149071198499986
3	7	29	0.912870929175277
6	4	29	0.182574185835055
8	2	29	-0.258198889747161
9	1	29	0.258198889747161
3	8	30	0.645497224367903
4	7	30	0.645497224367903
6	5	30	0.129099444873581
7	4	30	0.129099444873581
8	3	30	-0.258198889747161
10	1	30	0.258198889747161
4	8	31	0.912870929175277
7	5	31	0.182574185835056
9	3	31	-0.258198889747161
10	2	31	0.258198889747161
3	9	32	0.912870929175278
6	6	32	0.258198889747162
8	5	32	-0.258198889747161
9	4	32	0.182574185835056
4	9	33	0.912870929175278
7	6	33	0.258198889747162
9	5	33	-0.182574185835055
10	4	33	0.258198889747161
2	10	34	0.816496580927726
5	9	34	0.408248290463864
6	8	34	-0.288675134594812
7	7	34	0.288675134594813
3	10	35	0.816496580927726
6	9	35	0.288675134594814
8	8	35	-0.408248290463863
9	7	35	0.288675134594813
4	10	36	0.816496580927726
7	9	36	0.288675134594813
9	8	36	-0.288675134594813
10	7	36	0.408248290463863
5	1	37	1.000000000000000
5	2	38	1.000000000000000
5	3	39	1.000000000000000
5	4	40	0.774596669241483
6	2	40	0.365148371670110
7	1	40	-0.516397779494322
5	5	41	0.774596669241483
6	3	41	0.516397779494322
7	2	41	-0.365148371670111
5	6	42	0.547722557505166
6	5	42	0.547722557505166
7	4	42	-0.547722557505166
8	3	42	0.182574185835055
9	2	42	-0.182574185835055
10	1	42	0.182574185835055
6	1	43	1.000000000000000
6	2	44	0.816496580927726
7	1	44	0.577350269189626
6	3	45	0.577350269189626
7	2	45	0.816496580927726
7	3	46	1.000000000000000
6	4	47	0.894427190999916
8	2	47	0.316227766016838
9	1	47	-0.316227766016838
6	5	48	0.632455532033676
7	4	48	0.632455532033676
8	3	48	0.316227766016838
10	1	48	-0.316227766016838
7	5	49	0.894427190999915
9	3	49	0.316227766016838
10	2	49	-0.316227766016838
6	6	50	0.774596669241483
8	5	50	0.516397779494322
9	4	50	-0.365148371670111
7	6	51	0.774596669241483
9	5	51	0.365148371670110
10	4	51	-0.516397779494322
8	1	52	1.000000000000001
8	2	53	0.707106781186548
9	1	53	0.707106781186548
8	3	54	0.408248290463863
9	2	54	0.816496580927726
10	1	54	0.408248290463863
9	3	55	0.707106781186548
10	2	55	0.707106781186548
10	3	56	1.000000000000000
8	4	57	1.000000000000000
8	5	58	0.577350269189626
9	4	58	0.816496580927726
9	5	59	0.816496580927726
10	4	59	0.577350269189626
10	5	60	1.000000000000000
8	6	61	1.000000000000000
9	6	62	1.000000000000000
10	6	63	1.000000000000000
5	7	64	1.000000000000000
5	8	65	0.999999999999999
5	9	66	0.707106781186547
6	8	66	0.499999999999999
7	7	66	-0.500000000000000
6	7	67	1.000000000000000
6	8	68	0.707106781186547
7	7	68	0.707106781186547
7	8	69	1.000000000000000
6	9	70	0.866025403784438
8	8	70	0.408248290463863
9	7	70	-0.288675134594813
7	9	71	0.866025403784438
9	8	71	0.288675134594813
10	7	71	-0.408248290463863
8	7	72	1.000000000000000
8	8	73	0.577350269189626
9	7	73	0.816496580927726
9	8	74	0.816496580927726
10	7	74	0.577350269189626
10	8	75	1.000000000000000
8	9	76	1.000000000000000
9	9	77	1.000000000000000
10	9	78	1.000000000000000
5	10	79	1.000000000000000
6	10	80	1.000000000000000
7	10	81	1.000000000000000
8	10	82	1.000000000000000
9	10	83	1.000000000000000
10	10	84	1.000000000000000
